granule_id,product_id,datatake_identifier,mgrs_tile,sensing_time,geometric_quality_flag,generation_time,north_lat,south_lat,west_lon,east_lon,base_url,total_size,cloud_cover
L1C_T53HPA_A004418_20180110T005319,S2B_MSIL1C_20180110T004659_N0206_R102_T53HPA_20180110T035502,GS2B_20180110T004659_004418_N02.06,53HPA,2018-01-10 00:53:19.880000+00:00,,2018-01-10T03:55:02.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20180110T004659_N0206_R102_T53HPA_20180110T035502.SAFE,739107316,36.028
L1C_T53HPA_A013398_20180115T005320,S2A_MSIL1C_20180115T004701_N0206_R102_T53HPA_20180115T035558,GS2A_20180115T004701_013398_N02.06,53HPA,2018-01-15 00:53:20.880000+00:00,,2018-01-15T03:55:58.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20180115T004701_N0206_R102_T53HPA_20180115T035558.SAFE,712670076,50.4802
L1C_T53HPA_A004847_20180209T004659,S2B_MSIL1C_20180209T004659_N0206_R102_T53HPA_20180209T020759,GS2B_20180209T004659_004847_N02.06,53HPA,2018-02-09 00:46:59.460000+00:00,,2018-02-09T02:07:59.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20180209T004659_N0206_R102_T53HPA_20180209T020759.SAFE,771181999,9.4079
L1C_T53HPA_A013827_20180214T004702,S2A_MSIL1C_20180214T004701_N0206_R102_T53HPA_20180214T020535,GS2A_20180214T004701_013827_N02.06,53HPA,2018-02-14 00:47:02.460000+00:00,,2018-02-14T02:05:35.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20180214T004701_N0206_R102_T53HPA_20180214T020535.SAFE,783668231,6.4469
L1C_T53HPA_A004990_20180219T005320,S2B_MSIL1C_20180219T004659_N0206_R102_T53HPA_20180219T035445,GS2B_20180219T004659_004990_N02.06,53HPA,2018-02-19 00:53:20.880000+00:00,,2018-02-19T03:54:45.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20180219T004659_N0206_R102_T53HPA_20180219T035445.SAFE,815040123,43.1718
L1C_T53HPA_A005133_20180301T004657,S2B_MSIL1C_20180301T004659_N0206_R102_T53HPA_20180301T021115,GS2B_20180301T004659_005133_N02.06,53HPA,2018-03-01 00:46:57.460000+00:00,,2018-03-01T02:11:15.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20180301T004659_N0206_R102_T53HPA_20180301T021115.SAFE,813422917,44.5302
L1C_T53HPA_A014113_20180306T004702,S2A_MSIL1C_20180306T004701_N0206_R102_T53HPA_20180306T110723,GS2A_20180306T004701_014113_N02.06,53HPA,2018-03-06 00:47:02.460000+00:00,,2018-03-06T11:07:23.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20180306T004701_N0206_R102_T53HPA_20180306T110723.SAFE,796556156,53.0425
L1C_T53HPA_A005276_20180311T004657,S2B_MSIL1C_20180311T004659_N0206_R102_T53HPA_20180311T021933,GS2B_20180311T004659_005276_N02.06,53HPA,2018-03-11 00:46:57.460000+00:00,,2018-03-11T02:19:33.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20180311T004659_N0206_R102_T53HPA_20180311T021933.SAFE,737267164,34.7513
L1C_T53HPA_A005562_20180331T004702,S2B_MSIL1C_20180331T004659_N0206_R102_T53HPA_20180331T022110,GS2B_20180331T004659_005562_N02.06,53HPA,2018-03-31 00:47:02.460000+00:00,,2018-03-31T02:21:10.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20180331T004659_N0206_R102_T53HPA_20180331T022110.SAFE,797996699,29.2595
L1C_T53HPA_A014542_20180405T004706,S2A_MSIL1C_20180405T004711_N0206_R102_T53HPA_20180405T021615,GS2A_20180405T004711_014542_N02.06,53HPA,2018-04-05 00:47:06.460000+00:00,,2018-04-05T02:16:15.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20180405T004711_N0206_R102_T53HPA_20180405T021615.SAFE,839612786,51.7009
